Title,MLEC,,,,,,,,
Revision,0,,,,,,,,
Date,4/12/2016,,,,,,,,
Generated,4/18/2016 21:56,,,,,,,,
Company,Purdue University,,,,,,,,
Comment 1,John Fritz,,,,,,,,
Comment 2,,,,,,,,,
Comment 3,,,,,,,,,
Comment 4,,,,,,,,,
Total Parts,272,,,,,,,,
Total Unique Parts,90,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Reference,Qty,Value,Tolerance,Footprint,Mfg#,DigiKey#,
,,B1 ,1,600R Ferrite Bead, ,0805,MI0805K601R-10,240-2390-1-ND,
,,BUZ1 ,1,BUZZER, ,Custom,SMI-1324-TW-3V-R,668-1386-5-ND,
,,C2 C4 C5 C10 C9 C86 C26 C27 C29 C28 C30 C32 C34 C35 C36 C41 C40 C39 C37 C38 C48 C50 C54 C56 C42 C43 C44 C45 C55 C49 C46 C47 C51 C53 C52 C61 C57 C62 C66 C77 C78 C79 C80 C81 C67 C68 C59 C58 C83 C84 ,50,100nF,20%,0603,C0603C104M5RACTU,399-7845-1-ND,
,,C1 C24 ,2,10nF,1%,0603,C0603C102F5GACTU,399-7826-1-ND,
,,C6 C31 ,2,10uF,20%,0805,GRM21BR60J106ME19L,490-1718-1-ND,
,,C8 C7 ,2,470uF,20%,SMD 10mm Dia,UCL1V471MNL1GS,493-3961-1-ND,
,,C20 C63 C71 C60 C72 C82 C70 C69 ,8,4.7uF,10%,0805,C1206C475K3RACTU,399-8204-1-ND,
,,C14 C13 ,2,33nF,10%,0603,C0603C333K3RACTU,399-7904-1-ND,
,,C11 C12 C85 C87 ,4,10uF,10%,1206,C1206C106K3RACTU,399-7442-1-ND,
,,C22 C23 C18 C17 ,4,10uF,10%,0805,C0805C106K8RACTU,399-7411-1-ND,
,,C21 C19 ,2,100uF,20%,SMD 8mm Dia,EEEFC1A101P,PCE3989CT-ND,
,,C25 ,1,6.8nF,1%,0603, ,,
,,C16 C15 ,2,470pF,1%,0603, ,,
,,C33 ,1,10uF,20%,0603,C0603C106M9PACTU,399-5504-1-ND,
,,C73 ,1,22uF, ,, ,,
,,C64 C65 C74 ,3,10pF, ,, ,,
,,D2 D1 ,2,MBRS320TR, ,, ,,
,,D7 ,1,Power, ,, ,,
,,D4 ,1,ULED1, ,, ,,
,,D5 ,1,ULED2, ,, ,,
,,D6 ,1,ULED3, ,, ,,
,,D16 D13 D12 D8 D9 D18 ,6,SS26, ,, ,,
,,D17 ,1,MAIN2, ,, ,,
,,D15 ,1,PCRG, ,, ,,
,,D14 ,1,BSTR, ,, ,,
,,D10 ,1,MAIN1, ,, ,,
,,D11 ,1,ASTR, ,, ,,
,,DS1 ,1,NHD-0216CW, ,, ,,
,,F1 ,1,10A, ,, ,,
,,FI1 FI2 FI3 FI4 FI5 FI6 FI7 FI8 ,8,Fiducal, ,, ,,
